fold,macro_f1,weighted_f1,accuracy,minority_recall,run_id
1,0.7822970083935334,0.9044832569455376,0.9053158988146157,0.5604166666666667,cnn_cv_fold_1
2,0.7629278539622096,0.8900963467582489,0.8902358548209703,0.5857699805068226,cnn_cv_fold_2
3,0.7833515302623922,0.8958857192065369,0.8963460833435171,0.5375,cnn_cv_fold_3
4,0.7776594321505139,0.9004312576188364,0.9029916410030796,0.5165692007797271,cnn_cv_fold_4
5,0.7849851132527386,0.8952708029599152,0.8941926968763748,0.6743215031315241,cnn_cv_fold_5
