run_id,lr,batch_size,weight_decay,optimizer,epochs,patience,seed,best_epoch,best_val_loss,best_val_macro_f1,best_val_weighted_f1,final_train_acc,final_val_acc,minority_recall,notes,history_file,model_file
cnn_cv_fold_1,0.001,32,0.0001,adamw,12,3,42,8,0.2352020206248776,0.7822970083935334,0.9044832569455376,0.9419704505737576,0.8817059758034951,0.5604166666666667,cnn_cv_fold_1,metrics/cnn_cv/cnn_cv_fold_1_history.csv,models/cnn_cv/cnn_cv_fold_1.pt
cnn_cv_fold_2,0.001,32,0.0001,adamw,12,3,42,3,0.272055211909444,0.7629278539622096,0.8900963467582489,0.9049481235258894,0.8923133325186362,0.5857699805068226,cnn_cv_fold_2,metrics/cnn_cv/cnn_cv_fold_2_history.csv,models/cnn_cv/cnn_cv_fold_2.pt
cnn_cv_fold_3,0.001,32,0.0001,adamw,12,3,42,5,0.2511916074385113,0.7833515302623922,0.8958857192065369,0.9203521978760586,0.8962238787730661,0.5375,cnn_cv_fold_3,metrics/cnn_cv/cnn_cv_fold_3_history.csv,models/cnn_cv/cnn_cv_fold_3.pt
cnn_cv_fold_4,0.001,32,0.0001,adamw,12,3,42,5,0.2414802889849379,0.7776594321505139,0.9004312576188364,0.9226562547736452,0.9015007088038324,0.5165692007797271,cnn_cv_fold_4,metrics/cnn_cv/cnn_cv_fold_4_history.csv,models/cnn_cv/cnn_cv_fold_4.pt
cnn_cv_fold_5,0.001,32,0.0001,adamw,12,3,42,7,0.2610716496944754,0.7849851132527386,0.8952708029599152,0.9322432619043255,0.8975656254582783,0.6743215031315241,cnn_cv_fold_5,metrics/cnn_cv/cnn_cv_fold_5_history.csv,models/cnn_cv/cnn_cv_fold_5.pt
