feature,gini_importance
emb_351,0.018494796792051654
emb_100,0.01825651638450676
emb_146,0.017782042389211116
emb_99,0.01623484574821866
emb_501,0.015566463989181068
emb_290,0.015245888051912675
emb_508,0.015204598467836217
emb_271,0.014971192549894546
emb_459,0.014694926069257161
emb_222,0.014035522452447824
emb_420,0.013795877827315846
emb_414,0.013577495750253037
emb_260,0.01348838611019311
emb_476,0.013392602668336303
emb_72,0.012851890106770675
emb_353,0.012761144912677184
emb_417,0.012467851569038381
emb_500,0.012168900401635372
emb_175,0.011766345537371502
emb_108,0.01152305897498888
emb_470,0.011397070275227643
emb_84,0.011345269270031445
emb_509,0.01101341875962194
emb_394,0.010669308114346717
emb_205,0.01059781602736881
emb_3,0.010551641896374376
emb_35,0.010307659879084628
emb_360,0.010306034042577083
emb_369,0.010301995516922218
emb_436,0.010227069548219636
emb_235,0.010003818517814202
emb_491,0.009575495724070005
emb_321,0.009504104177981428
emb_30,0.009171316203069746
emb_10,0.008972939030268511
emb_23,0.007996778228283633
emb_444,0.0079397884133538
emb_485,0.007869111870772596
emb_337,0.007834510452599338
emb_322,0.00781899180834025
emb_275,0.007423682045221521
emb_265,0.007273811263028866
emb_137,0.00710700579294892
emb_142,0.006933579076489778
emb_163,0.006875014645221508
emb_356,0.0067485920099985145
emb_283,0.006570981925968729
emb_62,0.006524790689013954
emb_435,0.00614886415810777
emb_357,0.006051910229843906
emb_393,0.005926536007469508
emb_134,0.005737726114812216
emb_21,0.005618778656956615
emb_421,0.005523738579300129
emb_287,0.005469545026075299
emb_381,0.005328548392850113
emb_428,0.005269770129517283
emb_451,0.005100507117484558
emb_429,0.0050760300265441744
emb_267,0.004728617991122344
emb_366,0.004672449316006351
emb_449,0.0046398894696016504
emb_461,0.004617499799236981
emb_426,0.004587913946373956
emb_189,0.004530516019753657
emb_482,0.004472894244476392
emb_372,0.004252674443385987
emb_31,0.004249278485601923
emb_82,0.004169532283101513
emb_386,0.003933562337670528
emb_230,0.0038739150775149787
emb_51,0.003841631055764688
emb_176,0.003835349263583549
emb_314,0.003774938750565345
emb_442,0.0037267426581987944
emb_396,0.0037259295558800965
emb_303,0.0035943774789210133
emb_510,0.003515825042212873
emb_81,0.0035132920783127715
emb_140,0.003499947561244607
emb_248,0.00345117117298192
emb_187,0.003448619225056185
emb_167,0.003399016225105516
emb_382,0.0033599888271062554
emb_182,0.00334117187970344
emb_183,0.003331432760063922
emb_27,0.0031794132087912676
emb_162,0.0031713973827926668
emb_96,0.0031140709309103298
emb_6,0.0030562970874615115
emb_458,0.0030274668141470123
emb_138,0.003006991157429659
emb_45,0.0029909517090680017
emb_237,0.0029895803586299442
emb_361,0.0029764162000932436
emb_38,0.0029479569649824688
emb_319,0.002937026967547298
emb_122,0.0028591091916807584
emb_238,0.002822488901034399
emb_272,0.0028170646258793126
emb_206,0.002791948239482666
emb_174,0.002743617683661988
emb_302,0.0027115185002437544
emb_221,0.0026958169117260048
emb_129,0.002679220874292613
emb_282,0.0026763499692165345
emb_159,0.002653631434996766
emb_97,0.002635951870488948
emb_118,0.0026219278634095513
emb_49,0.002605255313788983
emb_392,0.00257793121932015
emb_78,0.0025765758716808696
emb_425,0.0025572221469011393
emb_305,0.002546443228813977
emb_195,0.0024861511485120198
emb_263,0.002430881944358006
emb_228,0.0024249098701933022
emb_227,0.0024173600844544464
emb_329,0.002411289870138442
emb_105,0.0023909949377094865
emb_292,0.0023024435544193793
emb_431,0.002206474147951159
emb_168,0.0022030907353175664
emb_217,0.002191603588844936
emb_440,0.002101018363515005
emb_403,0.0020935173120474318
emb_26,0.002086727207667744
emb_63,0.0020488945852055506
emb_483,0.002041331348473774
emb_472,0.00203948375221789
emb_447,0.0019496240095024662
emb_95,0.0019019380584321473
emb_318,0.0018701777631817686
emb_208,0.0018360713661668454
emb_324,0.0018345593635212102
emb_16,0.001819734359136809
emb_55,0.0017937694792348829
emb_328,0.0017595034531066901
emb_409,0.0017503643584328337
emb_231,0.0017472516910956076
emb_194,0.0017384107608711208
emb_346,0.0017365989992217995
emb_193,0.0017290806326076648
emb_87,0.0017180349022625917
emb_41,0.001701702201749916
emb_76,0.0016896104778690692
emb_32,0.001670634593435296
emb_427,0.0016566959029961157
emb_284,0.0016539443299790893
emb_339,0.0016289990445198222
emb_213,0.0016071819706331206
emb_473,0.0016066497254149678
emb_419,0.0015992876637865498
emb_58,0.001564142479289497
emb_484,0.0015452209072886868
emb_196,0.0015129095735015548
emb_460,0.0014953659609251307
emb_467,0.0014931218551923846
emb_463,0.0014449313290961642
emb_364,0.001440250852570603
emb_340,0.001407556005679118
emb_285,0.0013933062388048634
emb_110,0.0013904047500634172
emb_204,0.0013532189589394732
emb_343,0.0013394520797251274
emb_198,0.0013370112560985884
emb_216,0.0013262015835822237
emb_424,0.0013179816918966166
emb_214,0.0013048322840689718
emb_365,0.0012689725616028733
emb_12,0.001259965625912238
emb_46,0.0012337752116060676
emb_25,0.001223631484655796
emb_310,0.0012221244740936435
emb_80,0.0012018991286861032
emb_286,0.0011655917452315756
emb_68,0.0011616769943897732
emb_94,0.001129546054607139
emb_83,0.0011172249091598735
emb_121,0.0011126181573266215
emb_377,0.0011086998826894852
emb_130,0.0010987814866878789
emb_298,0.0010868432871037905
emb_236,0.0010773026285961938
emb_375,0.001036977034535644
emb_157,0.0010358648673816457
emb_497,0.0010278874812722546
emb_349,0.0010206840218184245
emb_200,0.001019503622934831
emb_246,0.0010123253550568265
emb_109,0.0010085156445632287
emb_234,0.0010035086005480832
emb_8,0.0010016357332938168
emb_358,0.0009943561117386622
emb_177,0.0009935365415811583
emb_232,0.0009893497323294521
emb_506,0.0009661459399150252
emb_362,0.0009418237357539356
emb_60,0.0009132961861330047
emb_70,0.0009120294240467046
emb_439,0.0009117726911736768
emb_383,0.0008985888385972562
emb_326,0.0008977595458978815
emb_331,0.0008767098035890305
emb_341,0.0008692055394019429
emb_438,0.0008355375674404337
emb_259,0.0008331703025101676
emb_116,0.0008319919369205746
emb_44,0.0008281682047694137
emb_455,0.0008218988275229224
emb_247,0.0008162465862578818
emb_203,0.0008161471440387761
emb_315,0.0008105744928900522
emb_24,0.0008102087326919526
emb_199,0.0008094847807700116
emb_416,0.0007934811688401553
emb_117,0.0007798838550432797
emb_184,0.0007774493574736983
emb_17,0.0007739781062572886
emb_92,0.0007675542814724351
emb_422,0.0007416481938912657
emb_266,0.0007378903353556364
emb_50,0.0007312773169060826
emb_2,0.0007134612349872911
emb_281,0.000704400102074271
emb_19,0.000693404120231612
emb_333,0.0006931798933201808
emb_481,0.0006898984607770439
emb_73,0.0006727613273092121
emb_311,0.0006722932953591378
emb_103,0.0006695828585032621
emb_406,0.0006503524977083998
emb_295,0.0006483182924997339
emb_273,0.0006469644951462004
emb_156,0.000640638769866159
emb_145,0.0006358403102443282
emb_160,0.0006337944654168331
emb_462,0.0006170642950408568
emb_172,0.0006111761077685857
emb_278,0.0005985626029127922
emb_120,0.0005884602042574503
emb_274,0.0005816483101922845
emb_115,0.0005809104772216459
emb_401,0.0005540976994309428
emb_171,0.0005507898486304531
emb_368,0.0005438578277172182
emb_133,0.0005362320208167215
emb_294,0.0005241989013045526
emb_180,0.000519142546832208
emb_256,0.0005152735836841917
emb_13,0.0005113420660242623
emb_494,0.0005102446782994771
emb_229,0.0005019573136534254
emb_33,0.0004976625100744826
emb_325,0.0004960644429568698
emb_178,0.0004847606654046192
emb_490,0.00047996660745599855
emb_93,0.0004714720061169391
emb_418,0.00046104861891529806
emb_188,0.0004608295474833676
emb_101,0.00045470123344560487
emb_411,0.0004532136251085527
emb_77,0.0004456351722722525
emb_445,0.00044450445626087253
emb_88,0.0004344940926744718
emb_280,0.00043413098631544893
emb_152,0.0004340603470575608
emb_288,0.00043389394710419236
emb_141,0.00042899690706051644
emb_144,0.00042874756757513185
emb_492,0.0004282780106867252
emb_437,0.0004124218712708166
emb_226,0.00041225622014702437
emb_312,0.0004120332189547409
emb_367,0.0004038490964647648
emb_98,0.0003992764200490508
emb_307,0.0003963950603505623
emb_186,0.00039292721524993246
emb_257,0.00039281595433894036
emb_291,0.0003905377596048642
emb_398,0.00038608177945837814
emb_301,0.0003849767259660517
emb_170,0.0003761492477397918
emb_7,0.00037595641356907167
emb_64,0.0003725771471656158
emb_119,0.0003697837158696688
emb_363,0.00036907927424221365
emb_147,0.00036782575563001067
emb_132,0.0003676666432049812
emb_59,0.0003654380258017662
emb_5,0.0003583204405020663
emb_397,0.00034916011187143876
emb_441,0.0003446015478427668
emb_112,0.00034312473608934696
emb_300,0.0003426293828704023
emb_56,0.00033702676770683363
emb_90,0.00033599721065368605
emb_9,0.00033116756996527707
emb_136,0.0003302932216109501
emb_239,0.0003288527624487794
emb_151,0.00032490871452737867
emb_270,0.0003236403168549119
emb_40,0.00031265424330366583
emb_201,0.00031079166356333523
emb_323,0.0003083078770013389
emb_379,0.00030776382918178727
emb_91,0.00030594617341558975
emb_413,0.0002962432889408248
emb_154,0.0002959236511333893
emb_218,0.0002930898231158414
emb_465,0.00029027712494343117
emb_504,0.00028992859481271927
emb_466,0.0002866640664541421
emb_475,0.0002863079156513502
emb_18,0.0002811127542559224
emb_408,0.00028044489071838525
emb_330,0.0002790728471084101
emb_48,0.00027752215073520637
emb_378,0.0002772553077580281
emb_29,0.0002728649787412985
emb_185,0.00026948785555369533
emb_243,0.00026599354248722887
emb_15,0.00026584145491391454
emb_478,0.00026220894048457465
emb_313,0.00026091112631285586
emb_423,0.00026064098770311165
emb_197,0.0002592790826011401
emb_36,0.0002574916329173808
emb_371,0.0002574592137479506
emb_453,0.00025618351217426426
emb_240,0.000252744527784727
emb_277,0.0002485441969020928
emb_69,0.00024356379949995333
emb_345,0.0002402826378982569
emb_79,0.00023547632754000982
emb_395,0.0002339797183387652
emb_258,0.00023397727272496461
emb_402,0.00023317325407531408
emb_370,0.00023189973856645022
emb_173,0.0002317004746546662
emb_74,0.00023098514627813835
emb_209,0.0002299892487729912
emb_86,0.00022813240996927094
emb_128,0.00022597207514866562
emb_113,0.00022277345292764824
emb_150,0.0002207921890948735
emb_410,0.000220077969949385
emb_4,0.00021957541956605205
emb_254,0.00021923632993379097
emb_269,0.00021818493476786713
emb_149,0.00021351071359591213
emb_164,0.0002133766779351683
emb_210,0.0002131491856404221
emb_252,0.00021287947219363222
emb_352,0.0002115930380319104
emb_308,0.00021135606694039865
emb_334,0.00020913713440135682
emb_355,0.00020833986855804207
emb_474,0.00020383500644412082
emb_161,0.00020367569969604815
emb_211,0.00020329055488949458
emb_384,0.00020241860866410328
emb_143,0.0002023471226525908
emb_47,0.0002018727125414047
emb_20,0.00020002478234978138
emb_487,0.00019789336480398448
emb_153,0.00019628982577681524
emb_37,0.00019518283671852407
emb_75,0.00019459162066358626
emb_448,0.00019431246736965224
emb_0,0.00019379442208513167
emb_347,0.00019314999842782906
emb_215,0.00019107736334799798
emb_468,0.0001901866491492597
emb_114,0.00018938271893836024
emb_469,0.00018777207346058652
emb_102,0.0001829757437053621
emb_407,0.00018266568574524592
emb_480,0.00018039572623647465
emb_404,0.00017900724114749855
emb_192,0.00017659438705173455
emb_495,0.00017616192706649707
emb_249,0.00017467672322368593
emb_456,0.000173346442318052
emb_127,0.00017261549474499122
emb_250,0.00017117061484367692
emb_359,0.00016780728417120674
emb_502,0.00016435687840326253
emb_212,0.00016297658444314607
emb_320,0.0001596607370190259
emb_220,0.00015902933233216538
emb_61,0.00015559373461657264
emb_464,0.0001524968586033311
emb_125,0.00015128402928711127
emb_452,0.00015015059632811427
emb_52,0.00014775768026866712
emb_264,0.00014635210708054025
emb_181,0.00014391509605659117
emb_391,0.00014330365745987523
emb_327,0.00014319758837692717
emb_34,0.00014264529563176627
emb_1,0.00014214911223952174
emb_348,0.00014183808302418985
emb_376,0.00014121641692610236
emb_289,0.00014085873445516267
emb_43,0.00014042989252105407
emb_85,0.00013802650955967378
emb_165,0.0001305342449490884
emb_433,0.00012483488833784522
emb_400,0.00012346986592242474
emb_415,0.00012326462103117938
emb_111,0.00012225880942902834
emb_390,0.00012123637492633503
emb_139,0.00012041283141771243
emb_306,0.00011975269626582531
emb_66,0.0001165251503144695
emb_373,0.00011531910346556995
emb_297,0.00011504309028185998
emb_261,0.00011503516241853934
emb_244,0.00011357914357401588
emb_11,0.00011026739782470793
emb_388,0.00010971328336452657
emb_131,0.00010830732564324981
emb_309,0.0001075434014003831
emb_399,0.00010616169032677658
emb_405,0.00010189093056331765
emb_477,0.00010069707138200662
emb_446,9.883814968997923e-05
emb_207,9.740330411467699e-05
emb_190,9.34768007447761e-05
emb_304,9.165364619699202e-05
emb_350,9.121857137882563e-05
emb_507,8.904024154758827e-05
emb_71,8.690770902566849e-05
emb_279,8.679083447159342e-05
emb_158,8.578204914379991e-05
emb_251,8.43180213107688e-05
emb_430,8.083120820888809e-05
emb_106,8.027783373034619e-05
emb_479,7.419853475581516e-05
emb_135,7.202569641438741e-05
emb_155,7.199653792865437e-05
emb_434,7.031404989775008e-05
emb_335,6.897053090157577e-05
emb_42,6.502161317937091e-05
emb_380,6.456275148271653e-05
emb_432,6.454375366410853e-05
emb_511,6.443010853786349e-05
emb_225,6.016162861283877e-05
emb_389,5.791218044333183e-05
emb_299,5.672970548632078e-05
emb_223,5.584620918442305e-05
emb_454,5.372161176113294e-05
emb_65,5.294887960205515e-05
emb_224,5.081085035506504e-05
emb_387,5.0785291972582785e-05
emb_276,4.978614818297137e-05
emb_245,4.629303750485896e-05
emb_262,4.36784146447397e-05
emb_293,4.18192901964088e-05
emb_457,3.705712671024028e-05
emb_107,3.562220565029689e-05
emb_54,3.508234394780886e-05
emb_342,3.494910805251205e-05
emb_242,3.292164612431224e-05
emb_255,3.2491283500834886e-05
emb_374,3.242191945901143e-05
emb_53,3.1485507572374194e-05
emb_496,3.132922734522055e-05
emb_123,2.9435086555414873e-05
