run_id,lr,batch_size,weight_decay,optimizer,epochs,patience,seed,best_epoch,best_val_loss,best_val_macro_f1,best_val_weighted_f1,final_train_acc,final_val_acc,minority_recall,notes,history_file,model_file
20260619-121030_lr0.001_bs32_wd0.0001,0.001,32,0.0001,adamw,10,3,42,5,0.2634213301724875,0.7725416991458977,0.8914361479772429,0.9236116203017992,0.8920662853790878,0.672782874617737,baseline tuning run,metrics/20260619-121030_lr0.001_bs32_wd0.0001_history.csv,models/20260619-121030_lr0.001_bs32_wd0.0001.pt
20260619-134924_lr0.001_bs32_wd0.0001,0.001,32,0.0001,adamw,12,3,42,5,0.2634213301724875,0.7725416991458977,0.8914361479772429,0.9236116203017992,0.8920662853790878,0.672782874617737,grid_run_1,metrics/20260619-134924_lr0.001_bs32_wd0.0001_history.csv,models/20260619-134924_lr0.001_bs32_wd0.0001.pt
20260619-145503_lr0.001_bs32_wd0.0001,0.001,32,0.0001,adamw,12,5,42,9,0.2430264281977882,0.7921285245892714,0.904468030757034,0.9575799347910036,0.8973212103436476,0.6101694915254238,grid_run_2,metrics/20260619-145503_lr0.001_bs32_wd0.0001_history.csv,models/20260619-145503_lr0.001_bs32_wd0.0001.pt
20260619-163345_lr0.001_bs64_wd0.0001,0.001,64,0.0001,adamw,12,3,42,10,0.2559055728886014,0.7811457767557188,0.9000269217988465,0.9503306888005748,0.900278633230679,0.6320081549439348,grid_run_3,metrics/20260619-163345_lr0.001_bs64_wd0.0001_history.csv,models/20260619-163345_lr0.001_bs64_wd0.0001.pt
20260619-180547_lr0.001_bs64_wd0.0001,0.001,64,0.0001,adamw,12,5,42,10,0.2559055728886014,0.7811457767557188,0.9000269217988465,0.9503306888005748,0.900278633230679,0.6320081549439348,grid_run_4,metrics/20260619-180547_lr0.001_bs64_wd0.0001_history.csv,models/20260619-180547_lr0.001_bs64_wd0.0001.pt
20260619-193802_lr0.0003_bs32_wd0.0001,0.0003,32,0.0001,adamw,12,3,42,3,0.2570616978555211,0.7664475541692878,0.8926119269035108,0.9110342029495584,0.9039937429730656,0.586864406779661,grid_run_5,metrics/20260619-193802_lr0.0003_bs32_wd0.0001_history.csv,models/20260619-193802_lr0.0003_bs32_wd0.0001.pt
20260619-202717_lr0.0003_bs32_wd0.0001,0.0003,32,0.0001,adamw,12,5,42,10,0.270620812168582,0.7881308777393096,0.896905478131611,0.9578096816295406,0.8895243681869287,0.6122881355932204,grid_run_6,metrics/20260619-202717_lr0.0003_bs32_wd0.0001_history.csv,models/20260619-202717_lr0.0003_bs32_wd0.0001.pt
20260619-220613_lr0.0003_bs64_wd0.0001,0.0003,64,0.0001,adamw,12,3,42,9,0.2587029962701788,0.7802741833269133,0.9013564935240096,0.9546763258103464,0.8965635234882925,0.576271186440678,grid_run_7,metrics/20260619-220613_lr0.0003_bs64_wd0.0001_history.csv,models/20260619-220613_lr0.0003_bs64_wd0.0001.pt
20260619-233839_lr0.0003_bs64_wd0.0001,0.0003,64,0.0001,adamw,12,5,42,9,0.25870299627017884,0.7802741833269133,0.9013564935240097,0.9546763258103464,0.8965635234882925,0.576271186440678,grid_run_8,metrics/20260619-233839_lr0.0003_bs64_wd0.0001_history.csv,models/20260619-233839_lr0.0003_bs64_wd0.0001.pt
