run_id,lr,batch_size,weight_decay,optimizer,epochs,patience,seed,best_epoch,best_val_loss,best_val_macro_f1,best_val_weighted_f1,final_train_acc,final_val_acc,minority_recall,notes,history_file,model_file
cnn_cv_fold_1,0.001,32,0.0001,adamw,12,3,42,8,0.2779493399724967,0.7729216355477406,0.8899613114995596,0.9429983428898242,0.887067208282618,0.5932415519399249,cnn_cv_fold_1,metrics/cnn_cv/cnn_cv_fold_1_history.csv,models/cnn_cv/cnn_cv_fold_1.pt
cnn_cv_fold_2,0.001,32,0.0001,adamw,12,3,42,5,0.2565593992161588,0.7752352157461562,0.8950739016796169,0.91570735141001,0.8964966051238433,0.5690058479532164,cnn_cv_fold_2,metrics/cnn_cv/cnn_cv_fold_2_history.csv,models/cnn_cv/cnn_cv_fold_2.pt
cnn_cv_fold_3,0.001,32,0.0001,adamw,12,3,42,11,0.28553492774082356,0.7677030103258378,0.8944433648576056,0.9534542681585546,0.8902641110997053,0.4988304093567251,cnn_cv_fold_3,metrics/cnn_cv/cnn_cv_fold_3_history.csv,models/cnn_cv/cnn_cv_fold_3.pt
