Model,Macro F1 (CV mean),Macro F1 (CV std),Weighted F1 (CV mean),Weighted F1 (CV std),Accuracy (CV mean),Accuracy (CV std)
"CNN (ResNet18, 5-channel)",0.7921285245892714,,0.904468030757034,,0.8973212103436476,
Random Forest,0.37547737407006065,0.0030249119067153924,0.6104304139508152,0.003211107651523587,0.593260148703673,0.003538725446445946
Logistic Regression,0.22269192416170225,0.0005090453283698798,0.5396989081722208,0.0007058068701568577,0.599399725797484,0.0007425815572399041
