epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_weighted_f1
1,0.5175322119112551,0.7929565485181329,0.3660161523852465,0.8541889692188118,0.6441056751953786,0.8494253692944235
2,0.3760295452550081,0.8469372791130795,0.33792613765774915,0.8623572025633881,0.6506719273503135,0.8533735245765758
3,0.32639040779188816,0.8672332125940373,0.35468675094536717,0.8626065023243537,0.6767292593790329,0.8550975174391268
4,0.2892839714192702,0.8828291123462041,0.2666452117236409,0.8935343373759,0.71515066677007,0.8891882089888191
5,0.26424028219211587,0.8922145151119649,0.2686234612496267,0.8915399392881759,0.7275067635406302,0.8868351013989934
6,0.24458077743063192,0.9011086507017055,0.2926365853824855,0.8801601384346908,0.7407530449833477,0.8760625312017685
7,0.2238650691145016,0.9083676731533487,0.2677952542824994,0.8912759748353888,0.7636398433249018,0.8892428334097742
8,0.20641261941343916,0.9175111085040548,0.3085681250788787,0.8819932249123784,0.7098679100816463,0.8764863385516583
9,0.1870463720982029,0.9254520391253978,0.2711143908423656,0.8959686762182693,0.7676648872746441,0.8934586465756835
10,0.162640201841954,0.9347714507779619,0.29348282641542933,0.8841929286856036,0.7575897326715995,0.8845543793919249
11,0.14019893115217752,0.9446334560279216,0.28553492774082356,0.8963939522810929,0.7677030103258378,0.8944433648576056
12,0.11993058007295443,0.9534542681585546,0.3572793193120515,0.8902641110997053,0.7636103119817547,0.8898150757024886
