epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_weighted_f1
1,0.5122531300314137,0.7948465702868176,0.4301145670751364,0.8308933154099963,0.5331215829654243,0.808652861735073
2,0.3716350447425518,0.8482383995893876,0.38163233477839426,0.8363191983380178,0.6634952191260461,0.8305116172790054
3,0.31455598537244256,0.8726368402400128,0.2893351464549501,0.8868385677624343,0.7545488322378608,0.8859380451597172
4,0.2822688426584099,0.8856517860416234,0.7223857651971217,0.7218868385677625,0.47354736449034396,0.7077266522143503
5,0.2569918447395965,0.8958315511615687,0.2505850103309215,0.8967126970548699,0.770462629517415,0.895111526111655
6,0.23782333655378207,0.9034694301531242,0.25750549565798114,0.8941952829035806,0.7446815314637785,0.891189422663779
7,0.22007780102728955,0.9112539564213177,0.30476420394357895,0.8747891971159721,0.7381020873312674,0.8742135166294926
8,0.20255681857153301,0.9180669444817852,0.23520202062487763,0.9053158988146157,0.7822970083935334,0.9044832569455376
9,0.18485459647412147,0.9264441701597234,0.2664401696932304,0.8936331418795063,0.7571066897863766,0.8922275653121108
10,0.16576706975762934,0.9339781739969937,0.26622138982974464,0.8992056702920689,0.7672972387611801,0.897945743967805
11,0.14583010734359328,0.9419704505737575,0.3161933959368081,0.8817059758034951,0.7421660244329081,0.8829422646816277
