epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_weighted_f1
1,0.5069022135759863,0.7970597400692904,0.4221420473627502,0.8306447670723958,0.6372477373006359,0.8299282982520981
2,0.3611901322141806,0.8530053342620938,0.35309305994247375,0.854499682260351,0.6684615637003253,0.8448562476636159
3,0.30911898518029074,0.8746540061958096,0.33044670646407537,0.8614410715158626,0.7485729610271903,0.8640637326366043
4,0.2776670923008481,0.8877238648653603,0.2611114985331439,0.8941926968763748,0.7488919596060811,0.8903908642462053
5,0.2592380360533779,0.8943351725233565,0.26886231199721994,0.8922373759593293,0.7580949040856403,0.8900011723954655
6,0.23856047203020883,0.9035738945001497,0.2566893473730098,0.895317006403676,0.7625551824103981,0.8953813106992488
7,0.22175236725957387,0.9098430272701166,0.2610716496944754,0.8941926968763748,0.7849851132527386,0.8952708029599152
8,0.2064528788401273,0.9163443501426747,0.24111721831146105,0.9017695654299261,0.7504980888849577,0.8997605280141597
9,0.18855081867876397,0.9241716007063467,0.2850999189011278,0.8875934887813463,0.7739195801244082,0.888019165479131
10,0.16964020478036293,0.9322432619043255,0.2637427770575234,0.8975656254582783,0.7768689982254361,0.8963452683144967
