epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_weighted_f1
1,0.44921915307410487,0.8193554379121389,0.34809677764724567,0.8598768147822261,0.650502394943405,0.852253484954669
2,0.33486304905786907,0.8621079028024226,0.30503717727714047,0.87400400840788,0.7251172660081445,0.869775476878567
3,0.29274952555613204,0.8798472916758321,0.25978967793911917,0.8944859950139317,0.755340814737372,0.8924267318153745
4,0.26110844522603754,0.8931335024661123,0.2515146084916133,0.8978344820843721,0.7582271743116477,0.8959957804731985
5,0.24156737108450171,0.9013506181167603,0.2599445246963107,0.8918463117759202,0.7644954516065737,0.8928343141140894
6,0.22360066422489994,0.9080817116628294,0.2409016327196688,0.9023072786821137,0.7604270536137758,0.9002488349108385
7,0.20627413455741042,0.9171347147473029,0.2648251429910376,0.8914552475925112,0.7667335634599255,0.8937924949777809
8,0.18912260894165328,0.923689831991514,0.253290943449215,0.8968079386029232,0.7682955177086488,0.8959699178394
9,0.16877720375791372,0.932405547164093,0.25870299627017884,0.9025272522852813,0.7802741833269133,0.9013564935240097
10,0.15093027914706364,0.9400018575276308,0.26457866918013906,0.899936452070196,0.7777925678456038,0.8990949576016002
11,0.13270596682270444,0.9472119976732022,0.27588305288106574,0.9026250183311336,0.7758758888099052,0.9012870321195224
12,0.11531696721886592,0.9546763258103464,0.31106642910874405,0.8965635234882925,0.7627455370130033,0.8957270942010318
