epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_weighted_f1
1,0.466755967499114,0.8121404095359602,0.3662880759799318,0.8506623649606492,0.6597213410247498,0.8447386102318477
2,0.3455939663227862,0.8581337713187958,0.29367632221143,0.8800166202277949,0.7302576630150123,0.8755304862854696
3,0.30136256980903453,0.8771392119194615,0.26776937122725375,0.8911130664320281,0.7275509862945533,0.8870268741838669
4,0.2690196570678778,0.8902689993303124,0.26948044660003173,0.8893777191181502,0.751074036887813,0.8879758064623137
5,0.2499519252191114,0.8982856975260665,0.27022778007148174,0.8891088624920566,0.7696984397040023,0.8902129446719196
6,0.23075445689956986,0.9053540789840302,0.25089571571637964,0.8958547196558635,0.7712854716876272,0.8945022437330953
7,0.21559894178573924,0.9129357246557464,0.253372291031894,0.8941193723419856,0.7677478392738672,0.8957071588500514
8,0.19877777148170556,0.9196326005875654,0.2521883535666008,0.8963435498851249,0.7739567091482595,0.8965241625563078
9,0.18055063651213663,0.9274537695590327,0.25858549058754937,0.8959036026787897,0.7796960488265665,0.896442938732233
10,0.16204198071484724,0.9349376506186056,0.2559055728886014,0.9006696974140881,0.7811457767557188,0.9000269217988465
11,0.14488005229750633,0.9431205486550034,0.2816116046387178,0.9004986068338466,0.7680983929194858,0.8988231536001341
12,0.12588337232771607,0.9503306888005748,0.29481787747603017,0.900278633230679,0.7706860192163759,0.899865165420159
