epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_weighted_f1
1,0.4579187216919874,0.814530754302865,0.367014222071773,0.8546218898176663,0.6294943639361316,0.8465499613070073
2,0.3297964654632742,0.8649919588606512,0.3138989099861503,0.869409004252823,0.7385808185887976,0.8704817139353742
3,0.28511325073818616,0.883792093775816,0.25706169785552113,0.894583761059784,0.7664475541692878,0.8926119269035108
4,0.2579292178917067,0.89525988278023,0.26182682140470687,0.8921884929364032,0.7309841297523583,0.8869939599452796
5,0.2364911007293518,0.9044155387074541,0.24845526544903943,0.8965879649997556,0.7652452374955605,0.8978217098692582
6,0.2189884577644216,0.9110342029495584,0.24261856482278604,0.9039937429730655,0.738226770610472,0.8996821719608757
7,0.20207055157226556,0.9180683667932719,0.256330734822558,0.8942660214107641,0.7719837973195659,0.8959652087731346
8,0.1851463850577791,0.9251465247124498,0.23797229450464993,0.9028449919343012,0.7812599097567107,0.9021586108644198
9,0.1655494425092283,0.9335493931261701,0.2499171851038315,0.9008652295057926,0.7825746976299902,0.9014108503496764
10,0.14710043033990244,0.941502544324031,0.270620812168582,0.8966368480226817,0.7881308777393096,0.896905478131611
11,0.12663827989762252,0.9496756658992145,0.2918439914870798,0.8977611575499829,0.7648649581578961,0.8958988072847349
12,0.1071549643060789,0.9578096816295406,0.3426040236273596,0.8895243681869287,0.7508604551272452,0.889526988304408
