feature,perm_macro_f1_drop_mean,perm_macro_f1_drop_std
emb_501,0.005199095944639654,0.000773592867796814
emb_470,0.00407936319775386,0.0007301264176738723
emb_360,0.003788410539305942,0.000958201707502034
emb_394,0.002786333162182775,0.0005914314773087843
emb_271,0.0025058593388861627,0.0013155706737682628
emb_23,0.0024707251459182176,0.0012662461498613331
emb_508,0.002431033245582137,0.0015967862862672584
emb_84,0.0021072563231061547,0.0005101720136080965
emb_275,0.002053330614700033,0.001319710585372594
emb_187,0.0020490773312400235,0.00017737972306736385
emb_163,0.0019399670518998491,0.0008195532074228532
emb_222,0.0019148895121274601,0.0009909412597112824
emb_356,0.0018838556571179944,0.0013260917130025176
emb_436,0.0018388144838794585,0.001631597098515876
emb_506,0.0018026598913598812,0.0007116146538255799
emb_140,0.0015113036631948296,0.0008088958466325238
emb_162,0.0014864548539193611,0.0005214472063740429
emb_134,0.0014828171800485457,0.0007201635456608793
emb_438,0.0014256438967735097,0.0003505233457418462
emb_94,0.0013814508474433661,0.0003032726423207011
emb_10,0.0013151143989873493,0.0005442297267345103
emb_27,0.0012914527688508315,0.0009412230029154911
emb_328,0.0012218566774364835,0.0009434444882211426
emb_129,0.0011781996967483055,0.00035287938036685396
emb_283,0.0011671723071920992,0.0003920650621554272
emb_32,0.0011387114558875089,0.0007185887812535101
emb_272,0.0011170160720022971,0.0011191836201024138
emb_485,0.0009877278129500455,0.00014121040377502178
emb_421,0.0009767373707047166,0.00038747214798213504
emb_459,0.0009606370683319599,0.0007136082469183817
emb_193,0.0009355098857483756,0.0007510926231865176
emb_321,0.0009351671243929216,0.0005413227306290643
emb_21,0.00093335916373265,0.0006673478257923864
emb_50,0.0009247246395219566,0.0007726402225609204
emb_30,0.000917497323346117,0.0004658944979711243
emb_232,0.0008324835734347724,0.0008948161501242547
emb_392,0.0008152810195652726,0.0004530736019826833
emb_369,0.0008079844201793751,0.0009061252304079475
emb_425,0.0007958995288435799,0.00048394842502903887
emb_130,0.000790519833441583,0.0006398399130510867
emb_305,0.0007883080762131067,0.00019271264832202556
emb_455,0.0007760394019164618,0.00011062083423260661
emb_458,0.000770486649965374,0.0010278735586363742
