n_estimators,max_depth,macro_f1,weighted_f1,minority_recall
800,20.0,0.370823829471852,0.6103487289801395,0.014583333333333334
500,20.0,0.3702250199621084,0.6087865227942614,0.014583333333333334
300,20.0,0.36971773591845947,0.6089058454852054,0.0125
200,20.0,0.36946796455924935,0.6083163678928202,0.0125
500,,0.36723130818463934,0.6460248716532818,0.010416666666666666
800,,0.36714217472197436,0.6462288228735333,0.010416666666666666
200,,0.3648405078818961,0.6441935360763594,0.008333333333333333
300,,0.3644687368900543,0.6445071412911673,0.00625
800,12.0,0.31755394235402873,0.4850909556633279,0.08541666666666667
200,12.0,0.3163798273825077,0.4854027646553502,0.07916666666666666
500,12.0,0.3162837355732487,0.48435899009352246,0.08125
300,12.0,0.31607668670595307,0.48457006793872226,0.08125
