dropped_feature,macro_f1_after_drop,weighted_f1_after_drop,delta_macro_f1,delta_weighted_f1
g_cmodel_mag,0.34175136580623267,0.5579419821209455,-0.028473654155875716,-0.0508445406733159
r_cmodel_mag,0.3545857015445909,0.5935325558962535,-0.015639318417517478,-0.015253966898007842
y_cmodel_mag,0.3641151864943303,0.6056047495900951,-0.006109833467778103,-0.0031817732041662383
z_cmodel_mag,0.36535391432515973,0.6073091057044965,-0.004871105636948647,-0.0014774170897648986
i_cmodel_mag,0.3688663948411867,0.6077751369222867,-0.0013586251209216638,-0.0010113858719746904
