feature,gini_importance,perm_macro_f1_drop_mean,perm_macro_f1_drop_std
g_cmodel_mag,0.22020461651526121,0.12912198744305084,0.0023350272439334116
r_cmodel_mag,0.19188329934713128,0.11733302457613728,0.0015817929695701224
y_cmodel_mag,0.18039573595757188,0.06909809393910686,0.0009479203160078513
i_cmodel_mag,0.2085195722684988,0.06378516835895155,0.0016924598401030074
z_cmodel_mag,0.19899677591153697,0.05760263482560855,0.0009659872686923492
